URL,Size,OutLinks,ContentType
https://www.washingtonpost.com/,285594,210,text/html
https://www.washingtonpost.com/news/ask-the-post/discussion-and-submission-guidelines/,87927,43,text/html
https://www.washingtonpost.com/wp-stat/advertising/subscribe.png,2552,0,image/png
https://www.washingtonpost.com/rss-terms-of-service/2012/01/16/gIQAadFYAQ_story.html,93604,23,text/html
https://www.washingtonpost.com/terms-of-service/2011/11/18/gIQAldiYiN_story.html,107267,25,text/html
https://www.washingtonpost.com/how-can-i-opt-out-of-online-advertising-cookies/2011/11/18/gIQABECbiN_story.html,90579,26,text/html
https://www.washingtonpost.com/terms-of-sale-for-digital-products/2014/05/06/b7763844-cbf9-11e3-93eb-6c0037dde2ad_story.html,98802,28,text/html
https://www.washingtonpost.com/terms-of-sale-for-print-products/2014/05/08/d60c4bc8-d6c0-11e3-aae8-c2d44bd79778_story.html,99040,28,text/html
https://www.washingtonpost.com/investigations/fbi-investigated-complaints-that-bobby-knight-groped-women-at-us-spy-agency/2017/07/07/ee1fc318-618f-11e7-8adc-fea80e32bf47_story.html?utm_term=.210825275739,115495,32,text/html
https://www.washingtonpost.com/amphtml/investigations/how-the-military-handles-sexual-assault-cases-behind-closed-doors/2017/09/30/a9df0682-672a-11e7-a1d7-9a32c91c6f40_story.html,71578,47,text/html
https://www.washingtonpost.com/world/national-security/military-chiefs-balk-at-sex-assault-bill/2013/06/04/cd061cc4-cd1c-11e2-ac03-178510c9cc0a_story.html?utm_term=.a8cbd3c0438b,157660,26,text/html
https://www.washingtonpost.com/world/national-security/generals-promotion-blocked-over-her-dismissal-of-sex-assault-verdict/2013/05/06/ef853f8c-b64c-11e2-bd07-b6e0e6152528_story.html?utm_term=.e097641f6be2,160588,32,text/html
https://www.washingtonpost.com/world/national-security/possible-military-sexual-assaults-up-by-33-percent-in-last-2-years/2013/05/07/8e33be68-b72b-11e2-bd07-b6e0e6152528_story.html?utm_term=.b24c41caa237,158560,29,text/html
https://www.washingtonpost.com/news/powerpost/,143041,102,text/html
https://www.washingtonpost.com/amphtml/news/powerpost/wp/2017/09/26/qa-for-federal-workers-retirement-wave/,39666,36,text/html
https://www.washingtonpost.com/people/eric-yoder/,71744,57,text/html
https://www.washingtonpost.com/amphtml/news/powerpost/wp/2017/09/29/federal-employees-honored-at-gala-get-trumps-praise/,47923,40,text/html
https://www.washingtonpost.com/news/energy-environment/wp/2017/09/26/zinke-says-a-third-of-interiors-staff-is-disloyal-to-trump-and-promises-huge-changes/?tid=a_inl&utm_term=.6f7024c27a06,99806,35,text/html
https://www.washingtonpost.com/news/powerpost/wp/2017/05/08/the-sammies-therapy-for-feds-during-tough-times-under-trump/?utm_term=.a3cebd826409,159077,33,text/html
https://www.washingtonpost.com/news/powerpost/wp/2017/09/22/trump-could-learn-from-federal-employee-service-to-america-medal-winners/?utm_term=.e819c3a987fb,162543,32,text/html
https://www.washingtonpost.com/people/joe-davidson/,74499,62,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/29/10-celebrities-you-probably-think-hosted-saturday-night-live-but-havent/,161552,53,text/html
